pk,ispb,code,name
95,2685483,180,"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA      "
96,9210106,183,SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P
97,17298092,184,Banco Itaú BBA S.A.
98,33775974,188,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES                 "
99,7512441,189,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS                        "
100,3973814,190,SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAI
101,4257795,191,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.
102,20155248,194,PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
103,7799277,195,VALOR SOCIEDADE DE CRÉDITO DIRETO S.A.
104,32648370,196,FAIR CORRETORA DE CAMBIO S.A.
105,16501555,197,STONE INSTITUIÇÃO DE PAGAMENTO S.A.
106,30306294,208,Banco BTG Pactual S.A.
107,92894922,212,Banco Original S.A.
108,54403563,213,Banco Arbi S.A.
109,91884981,217,Banco John Deere S.A.
110,71027866,218,Banco BS2 S.A.
111,75647891,222,BANCO CRÉDIT AGRICOLE BRASIL S.A.
112,58616418,224,Banco Fibra S.A.
113,62421979,233,Banco Cifra S.A.
114,60746948,237,Banco Bradesco S.A.
115,31597552,241,BANCO CLASSICO S.A.
116,33923798,243,BANCO MASTER S/A
117,28195667,246,Banco ABC Brasil S.A.
118,61182408,249,Banco Investcred Unibanco S.A.
119,50585090,250,BCV - BANCO DE CRÉDITO E VAREJO S.A.
120,52937216,253,Bexs Corretora de Câmbio S/A
121,14388334,254,PARANÁ BANCO S.A.
122,8609934,259,MONEYCORP BANCO DE CÂMBIO S.A.
123,18236120,260,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO
124,33644196,265,Banco Fator S.A.
125,33132044,266,BANCO CEDULA S.A.
126,14511781,268,BARI COMPANHIA HIPOTECÁRIA
